campaign_id,card_id,merchant_id,category,title,description,condition,benefit_amount,start_date,end_date,bank_id
fibabanka_CAMP_1,fibabanka_CARD_CUST_0098_3,MERCH_15,CAT_3,Quality-focused needs-based function,Quis numquam explicabo fuga voluptate in soluta.,500 TL ve üzeri alışveriş,100,2025-07-15,2025-07-26,fibabanka
fibabanka_CAMP_2,fibabanka_CARD_CUST_0105_1,MERCH_18,CAT_5,Visionary solution-oriented policy,Voluptate nihil ipsum excepturi ratione quidem.,500 TL ve üzeri alışveriş,25,2025-07-10,2025-07-24,fibabanka
fibabanka_CAMP_3,fibabanka_CARD_CUST_0395_2,MERCH_8,CAT_3,Decentralized bottom-line framework,Odio libero mollitia nobis dolores.,300 TL ve üzeri alışveriş,25,2025-07-15,2025-08-03,fibabanka
fibabanka_CAMP_4,fibabanka_CARD_CUST_0290_4,MERCH_6,CAT_4,Realigned actuating frame,Natus facere placeat in reprehenderit debitis reprehenderit.,150 TL ve üzeri alışveriş,100,2025-07-04,2025-08-15,fibabanka
fibabanka_CAMP_5,fibabanka_CARD_CUST_0140_1,MERCH_4,CAT_1,Progressive multi-tasking encoding,At soluta repudiandae ex veritatis quae nobis esse.,500 TL ve üzeri alışveriş,50,2025-07-10,2025-07-29,fibabanka
fibabanka_CAMP_6,fibabanka_CARD_CUST_0443_2,MERCH_9,CAT_5,Multi-layered directional open architecture,Magni fugit sint fugiat sed fugiat incidunt.,300 TL ve üzeri alışveriş,25,2025-07-12,2025-07-27,fibabanka
fibabanka_CAMP_7,fibabanka_CARD_CUST_0072_2,MERCH_2,CAT_2,Switchable cohesive hierarchy,Deserunt eaque eius neque veritatis.,150 TL ve üzeri alışveriş,50,2025-07-18,2025-08-03,fibabanka
fibabanka_CAMP_8,fibabanka_CARD_CUST_0115_1,MERCH_18,CAT_5,Visionary uniform implementation,Atque architecto sint tempore molestias quae.,300 TL ve üzeri alışveriş,50,2025-07-11,2025-07-27,fibabanka
fibabanka_CAMP_9,fibabanka_CARD_CUST_0426_3,MERCH_10,CAT_4,Persevering incremental application,Neque nulla beatae.,250 TL ve üzeri alışveriş,150,2025-07-16,2025-07-22,fibabanka
fibabanka_CAMP_10,fibabanka_CARD_CUST_0286_2,MERCH_1,CAT_3,Operative upward-trending initiative,Mollitia error officia hic doloribus magni nisi.,150 TL ve üzeri alışveriş,100,2025-07-13,2025-08-17,fibabanka
fibabanka_CAMP_11,fibabanka_CARD_CUST_0321_3,MERCH_4,CAT_1,Adaptive national interface,Nemo labore reiciendis aliquid dolor.,500 TL ve üzeri alışveriş,25,2025-07-06,2025-08-09,fibabanka
fibabanka_CAMP_12,fibabanka_CARD_CUST_0423_2,MERCH_2,CAT_2,Synchronized content-based website,Repellendus earum saepe aperiam.,500 TL ve üzeri alışveriş,50,2025-07-10,2025-08-06,fibabanka
fibabanka_CAMP_13,fibabanka_CARD_CUST_0128_1,MERCH_18,CAT_5,Right-sized foreground infrastructure,Consequuntur magnam nisi culpa tempore voluptate doloribus.,250 TL ve üzeri alışveriş,150,2025-07-11,2025-08-04,fibabanka
fibabanka_CAMP_14,fibabanka_CARD_CUST_0472_1,MERCH_18,CAT_5,Assimilated asynchronous array,Aperiam aperiam eius officiis.,150 TL ve üzeri alışveriş,50,2025-07-14,2025-08-02,fibabanka
fibabanka_CAMP_15,fibabanka_CARD_CUST_0409_2,MERCH_9,CAT_5,Persistent foreground infrastructure,Veniam doloribus nisi laboriosam.,500 TL ve üzeri alışveriş,150,2025-07-18,2025-07-24,fibabanka
fibabanka_CAMP_16,fibabanka_CARD_CUST_0233_3,MERCH_19,CAT_2,Virtual discrete artificial intelligence,Soluta molestiae eligendi quia quisquam.,300 TL ve üzeri alışveriş,50,2025-07-06,2025-07-28,fibabanka
fibabanka_CAMP_17,fibabanka_CARD_CUST_0032_1,MERCH_9,CAT_5,Decentralized empowering Internet solution,Omnis quisquam doloribus molestiae.,150 TL ve üzeri alışveriş,150,2025-07-06,2025-08-07,fibabanka
fibabanka_CAMP_18,fibabanka_CARD_CUST_0145_2,MERCH_14,CAT_1,Advanced 24hour workforce,Sunt error omnis esse.,150 TL ve üzeri alışveriş,100,2025-07-04,2025-07-21,fibabanka
fibabanka_CAMP_19,fibabanka_CARD_CUST_0011_1,MERCH_14,CAT_1,Synergized secondary middleware,Id necessitatibus facere aliquam ipsum occaecati magnam expedita.,300 TL ve üzeri alışveriş,100,2025-07-18,2025-07-23,fibabanka
fibabanka_CAMP_20,fibabanka_CARD_CUST_0339_1,MERCH_5,CAT_3,Focused bandwidth-monitored knowledgebase,Sunt velit aperiam repudiandae eius inventore amet.,150 TL ve üzeri alışveriş,100,2025-07-05,2025-08-17,fibabanka
fibabanka_CAMP_21,fibabanka_CARD_CUST_0385_1,MERCH_15,CAT_3,Re-engineered full-range matrices,Ducimus similique quasi at magnam optio soluta.,150 TL ve üzeri alışveriş,50,2025-07-17,2025-07-19,fibabanka
fibabanka_CAMP_22,fibabanka_CARD_CUST_0079_2,MERCH_14,CAT_1,Configurable empowering extranet,Totam officia vel aut porro exercitationem.,150 TL ve üzeri alışveriş,50,2025-07-12,2025-07-25,fibabanka
fibabanka_CAMP_23,fibabanka_CARD_CUST_0392_1,MERCH_5,CAT_3,Devolved composite monitoring,Molestias nesciunt voluptatem ex.,500 TL ve üzeri alışveriş,100,2025-07-06,2025-08-09,fibabanka
fibabanka_CAMP_24,fibabanka_CARD_CUST_0101_2,MERCH_20,CAT_3,Innovative dynamic monitoring,Consequatur cum consequuntur ipsum voluptatibus.,150 TL ve üzeri alışveriş,100,2025-07-06,2025-08-06,fibabanka
fibabanka_CAMP_25,fibabanka_CARD_CUST_0182_2,MERCH_6,CAT_4,Customizable composite data-warehouse,Fugiat odit culpa.,300 TL ve üzeri alışveriş,150,2025-07-07,2025-07-28,fibabanka
fibabanka_CAMP_26,fibabanka_CARD_CUST_0216_2,MERCH_19,CAT_2,Versatile disintermediate utilization,Ab repudiandae laboriosam quae aliquid molestias sunt.,150 TL ve üzeri alışveriş,25,2025-07-05,2025-07-24,fibabanka
fibabanka_CAMP_27,fibabanka_CARD_CUST_0054_3,MERCH_7,CAT_5,Operative leadingedge protocol,Itaque ullam vero.,300 TL ve üzeri alışveriş,50,2025-07-06,2025-07-27,fibabanka
fibabanka_CAMP_28,fibabanka_CARD_CUST_0197_3,MERCH_7,CAT_5,Extended secondary process improvement,Recusandae animi deleniti consectetur.,500 TL ve üzeri alışveriş,50,2025-07-09,2025-08-13,fibabanka
fibabanka_CAMP_29,fibabanka_CARD_CUST_0208_2,MERCH_18,CAT_5,Mandatory encompassing approach,Quod temporibus sapiente dolorum aut tenetur quis.,300 TL ve üzeri alışveriş,150,2025-07-18,2025-08-10,fibabanka
