campaign_id,card_id,merchant_id,category,title,description,condition,benefit_amount,start_date,end_date,bank_id
yapikredi_CAMP_1,yapikredi_CARD_CUST_0373_1,MERCH_12,CAT_4,Synergistic tertiary benchmark,Sapiente voluptate rerum aut deleniti asperiores veniam ullam.,300 TL ve üzeri alışveriş,50,2025-07-13,2025-07-23,yapikredi
yapikredi_CAMP_2,yapikredi_CARD_CUST_0162_4,MERCH_18,CAT_5,Operative disintermediate orchestration,A dolorem quibusdam aut.,150 TL ve üzeri alışveriş,50,2025-07-09,2025-07-22,yapikredi
yapikredi_CAMP_3,yapikredi_CARD_CUST_0373_1,MERCH_2,CAT_2,Integrated radical architecture,Rerum magnam a maxime.,300 TL ve üzeri alışveriş,50,2025-07-18,2025-07-28,yapikredi
yapikredi_CAMP_4,yapikredi_CARD_CUST_0460_1,MERCH_5,CAT_3,Progressive system-worthy portal,Neque consectetur ipsum nisi.,300 TL ve üzeri alışveriş,150,2025-07-13,2025-08-07,yapikredi
yapikredi_CAMP_5,yapikredi_CARD_CUST_0276_3,MERCH_10,CAT_4,Front-line client-driven extranet,Veniam quod suscipit ipsa.,250 TL ve üzeri alışveriş,25,2025-07-06,2025-08-01,yapikredi
yapikredi_CAMP_6,yapikredi_CARD_CUST_0233_2,MERCH_9,CAT_5,Upgradable modular circuit,Porro voluptatem alias pariatur occaecati.,500 TL ve üzeri alışveriş,50,2025-07-08,2025-07-25,yapikredi
yapikredi_CAMP_7,yapikredi_CARD_CUST_0343_1,MERCH_16,CAT_3,Re-engineered impactful task-force,Expedita deleniti error voluptas fugit dolorem.,500 TL ve üzeri alışveriş,50,2025-07-13,2025-08-12,yapikredi
yapikredi_CAMP_8,yapikredi_CARD_CUST_0098_4,MERCH_19,CAT_2,Expanded intangible installation,Quod itaque voluptate quia officiis.,300 TL ve üzeri alışveriş,100,2025-07-12,2025-07-22,yapikredi
yapikredi_CAMP_9,yapikredi_CARD_CUST_0085_1,MERCH_1,CAT_3,Ergonomic context-sensitive strategy,Reiciendis rerum optio labore ad labore.,500 TL ve üzeri alışveriş,25,2025-07-13,2025-08-09,yapikredi
yapikredi_CAMP_10,yapikredi_CARD_CUST_0367_2,MERCH_14,CAT_1,Total modular parallelism,Atque sed eaque aspernatur harum laudantium.,300 TL ve üzeri alışveriş,150,2025-07-13,2025-08-03,yapikredi
