campaign_id,card_id,merchant_id,category,title,description,condition,benefit_amount,start_date,end_date,bank_id
garanti_CAMP_1,garanti_CARD_CUST_0363_3,MERCH_2,CAT_2,Seamless object-oriented pricing structure,Incidunt facilis error iure ipsum.,300 TL ve üzeri alışveriş,150,2025-07-18,2025-08-07,garanti
garanti_CAMP_2,garanti_CARD_CUST_0453_2,MERCH_5,CAT_3,Enterprise-wide encompassing moderator,Deleniti accusantium commodi quod reprehenderit necessitatibus iusto placeat.,150 TL ve üzeri alışveriş,25,2025-07-13,2025-07-19,garanti
garanti_CAMP_3,garanti_CARD_CUST_0126_2,MERCH_9,CAT_5,Distributed heuristic Graphical User Interface,Necessitatibus aliquid eos in cumque deserunt dicta quos.,150 TL ve üzeri alışveriş,50,2025-07-17,2025-08-01,garanti
garanti_CAMP_4,garanti_CARD_CUST_0113_3,MERCH_7,CAT_5,Phased client-server software,Odio animi vero occaecati deleniti perspiciatis delectus.,500 TL ve üzeri alışveriş,150,2025-07-12,2025-07-27,garanti
garanti_CAMP_5,garanti_CARD_CUST_0128_4,MERCH_15,CAT_3,Programmable dynamic leverage,Esse velit a beatae nihil nostrum.,150 TL ve üzeri alışveriş,50,2025-07-12,2025-07-27,garanti
garanti_CAMP_6,garanti_CARD_CUST_0225_2,MERCH_7,CAT_5,Persevering neutral portal,Deserunt a ab ullam.,250 TL ve üzeri alışveriş,50,2025-07-10,2025-08-07,garanti
garanti_CAMP_7,garanti_CARD_CUST_0043_3,MERCH_11,CAT_5,Implemented real-time methodology,Omnis nisi nulla cupiditate fugit quidem.,150 TL ve üzeri alışveriş,50,2025-07-05,2025-08-16,garanti
garanti_CAMP_8,garanti_CARD_CUST_0080_2,MERCH_9,CAT_5,Streamlined full-range website,Voluptatum corrupti neque asperiores.,300 TL ve üzeri alışveriş,25,2025-07-05,2025-07-20,garanti
garanti_CAMP_9,garanti_CARD_CUST_0250_2,MERCH_11,CAT_5,Distributed responsive projection,Quaerat fugit fugiat debitis.,300 TL ve üzeri alışveriş,100,2025-07-11,2025-08-01,garanti
garanti_CAMP_10,garanti_CARD_CUST_0128_4,MERCH_2,CAT_2,Advanced transitional groupware,Dolores expedita ea explicabo suscipit deleniti sunt animi.,250 TL ve üzeri alışveriş,25,2025-07-11,2025-07-27,garanti
garanti_CAMP_11,garanti_CARD_CUST_0395_3,MERCH_18,CAT_5,Cross-group responsive standardization,Aliquam aut accusantium omnis.,500 TL ve üzeri alışveriş,50,2025-07-10,2025-07-22,garanti
garanti_CAMP_12,garanti_CARD_CUST_0130_1,MERCH_19,CAT_2,Object-based motivating function,Vitae alias illum repellendus adipisci quae accusantium.,250 TL ve üzeri alışveriş,25,2025-07-04,2025-07-22,garanti
garanti_CAMP_13,garanti_CARD_CUST_0136_1,MERCH_3,CAT_4,Customer-focused explicit forecast,Nam in asperiores placeat quos commodi.,500 TL ve üzeri alışveriş,25,2025-07-15,2025-07-29,garanti
garanti_CAMP_14,garanti_CARD_CUST_0388_1,MERCH_13,CAT_5,Profit-focused neutral secured line,Quibusdam numquam dolorum voluptas enim.,150 TL ve üzeri alışveriş,100,2025-07-07,2025-08-13,garanti
garanti_CAMP_15,garanti_CARD_CUST_0447_3,MERCH_14,CAT_1,Devolved dynamic algorithm,Quas in inventore dolor aliquam.,250 TL ve üzeri alışveriş,100,2025-07-13,2025-08-04,garanti
garanti_CAMP_16,garanti_CARD_CUST_0306_3,MERCH_14,CAT_1,Assimilated disintermediate neural-net,Optio adipisci quam commodi corrupti fugit perferendis.,150 TL ve üzeri alışveriş,25,2025-07-04,2025-07-24,garanti
garanti_CAMP_17,garanti_CARD_CUST_0004_4,MERCH_5,CAT_3,Horizontal local definition,Vel illum mollitia sapiente eos veniam.,150 TL ve üzeri alışveriş,25,2025-07-06,2025-07-21,garanti
garanti_CAMP_18,garanti_CARD_CUST_0020_3,MERCH_16,CAT_3,Configurable didactic flexibility,Recusandae reprehenderit consequatur assumenda quidem distinctio asperiores.,150 TL ve üzeri alışveriş,100,2025-07-10,2025-07-22,garanti
garanti_CAMP_19,garanti_CARD_CUST_0164_2,MERCH_10,CAT_4,Reactive needs-based pricing structure,Placeat eaque modi at officiis harum.,150 TL ve üzeri alışveriş,25,2025-07-13,2025-07-28,garanti
garanti_CAMP_20,garanti_CARD_CUST_0189_1,MERCH_5,CAT_3,Extended bi-directional hierarchy,Recusandae quo enim inventore.,500 TL ve üzeri alışveriş,25,2025-07-09,2025-07-29,garanti
garanti_CAMP_21,garanti_CARD_CUST_0414_4,MERCH_10,CAT_4,Down-sized interactive array,Quisquam animi delectus nobis culpa.,300 TL ve üzeri alışveriş,25,2025-07-16,2025-07-25,garanti
garanti_CAMP_22,garanti_CARD_CUST_0017_2,MERCH_17,CAT_4,Multi-channeled web-enabled productivity,Error ea rem dolor.,250 TL ve üzeri alışveriş,100,2025-07-15,2025-07-25,garanti
garanti_CAMP_23,garanti_CARD_CUST_0290_3,MERCH_15,CAT_3,Operative 4thgeneration budgetary management,Veniam vel totam culpa quas voluptas.,500 TL ve üzeri alışveriş,25,2025-07-10,2025-08-06,garanti
garanti_CAMP_24,garanti_CARD_CUST_0491_4,MERCH_1,CAT_3,User-centric incremental toolset,Vitae eum nobis.,300 TL ve üzeri alışveriş,100,2025-07-16,2025-07-19,garanti
garanti_CAMP_25,garanti_CARD_CUST_0252_2,MERCH_6,CAT_4,Synergistic stable open system,Blanditiis dignissimos suscipit delectus nisi perferendis cum.,250 TL ve üzeri alışveriş,25,2025-07-18,2025-08-15,garanti
garanti_CAMP_26,garanti_CARD_CUST_0136_1,MERCH_18,CAT_5,Digitized foreground firmware,Temporibus necessitatibus enim ratione consequuntur pariatur.,500 TL ve üzeri alışveriş,100,2025-07-15,2025-07-24,garanti
garanti_CAMP_27,garanti_CARD_CUST_0468_1,MERCH_1,CAT_3,Grass-roots incremental frame,At ratione molestiae reprehenderit.,150 TL ve üzeri alışveriş,50,2025-07-07,2025-08-04,garanti
garanti_CAMP_28,garanti_CARD_CUST_0177_1,MERCH_18,CAT_5,Enhanced analyzing orchestration,Nisi accusantium animi maiores explicabo officia tenetur ipsa.,300 TL ve üzeri alışveriş,25,2025-07-15,2025-07-31,garanti
garanti_CAMP_29,garanti_CARD_CUST_0290_3,MERCH_6,CAT_4,Phased fresh-thinking matrices,Iste reprehenderit soluta maxime.,500 TL ve üzeri alışveriş,150,2025-07-05,2025-08-02,garanti
garanti_CAMP_30,garanti_CARD_CUST_0029_2,MERCH_9,CAT_5,Function-based systemic groupware,Cum ad perspiciatis illum esse vel.,500 TL ve üzeri alışveriş,150,2025-07-12,2025-08-15,garanti
garanti_CAMP_31,garanti_CARD_CUST_0017_2,MERCH_13,CAT_5,Operative object-oriented product,Nemo sit velit.,150 TL ve üzeri alışveriş,25,2025-07-12,2025-08-07,garanti
garanti_CAMP_32,garanti_CARD_CUST_0003_1,MERCH_7,CAT_5,Optimized foreground orchestration,Iste adipisci delectus ducimus dolor quo at.,300 TL ve üzeri alışveriş,50,2025-07-18,2025-08-15,garanti
garanti_CAMP_33,garanti_CARD_CUST_0336_4,MERCH_1,CAT_3,Proactive contextually-based strategy,Dolorem molestiae illum distinctio aliquid velit.,300 TL ve üzeri alışveriş,100,2025-07-18,2025-07-26,garanti
garanti_CAMP_34,garanti_CARD_CUST_0086_2,MERCH_5,CAT_3,Cross-platform client-driven solution,Provident dolorum est reiciendis repellat porro aliquid.,300 TL ve üzeri alışveriş,100,2025-07-08,2025-08-01,garanti
garanti_CAMP_35,garanti_CARD_CUST_0138_3,MERCH_6,CAT_4,Function-based systemic challenge,Sed a alias quibusdam officia accusamus facilis.,500 TL ve üzeri alışveriş,150,2025-07-15,2025-07-31,garanti
garanti_CAMP_36,garanti_CARD_CUST_0123_3,MERCH_20,CAT_3,User-centric 6thgeneration secured line,Itaque delectus numquam.,250 TL ve üzeri alışveriş,150,2025-07-06,2025-08-03,garanti
garanti_CAMP_37,garanti_CARD_CUST_0138_3,MERCH_2,CAT_2,Proactive background Graphic Interface,Sunt totam molestias asperiores.,300 TL ve üzeri alışveriş,50,2025-07-09,2025-07-19,garanti
garanti_CAMP_38,garanti_CARD_CUST_0293_1,MERCH_14,CAT_1,Extended responsive groupware,Ad iure animi ducimus.,300 TL ve üzeri alışveriş,25,2025-07-16,2025-08-16,garanti
