campaign_id,card_id,merchant_id,category,title,description,condition,benefit_amount,start_date,end_date,bank_id
ziraat_CAMP_1,ziraat_CARD_CUST_0497_3,MERCH_6,CAT_4,Reactive contextually-based function,Vero occaecati minus nam cumque ea.,150 TL ve üzeri alışveriş,25,2025-07-16,2025-08-07,ziraat
ziraat_CAMP_2,ziraat_CARD_CUST_0350_3,MERCH_7,CAT_5,Ergonomic 3rdgeneration projection,Molestiae sit earum commodi aperiam hic.,250 TL ve üzeri alışveriş,50,2025-07-16,2025-07-23,ziraat
ziraat_CAMP_3,ziraat_CARD_CUST_0135_3,MERCH_19,CAT_2,Cloned 24hour benchmark,Repudiandae tempora necessitatibus architecto laborum impedit error.,250 TL ve üzeri alışveriş,150,2025-07-10,2025-07-25,ziraat
ziraat_CAMP_4,ziraat_CARD_CUST_0004_2,MERCH_1,CAT_3,Profit-focused neutral software,Hic repellat quasi maxime perferendis voluptates.,300 TL ve üzeri alışveriş,50,2025-07-08,2025-08-16,ziraat
ziraat_CAMP_5,ziraat_CARD_CUST_0360_3,MERCH_20,CAT_3,Organized incremental hardware,Molestias expedita natus ipsam nobis numquam accusamus.,250 TL ve üzeri alışveriş,25,2025-07-06,2025-08-03,ziraat
ziraat_CAMP_6,ziraat_CARD_CUST_0321_4,MERCH_4,CAT_1,Compatible interactive concept,Deserunt maxime dolore aperiam distinctio soluta porro.,250 TL ve üzeri alışveriş,150,2025-07-13,2025-08-02,ziraat
ziraat_CAMP_7,ziraat_CARD_CUST_0155_3,MERCH_13,CAT_5,Realigned background architecture,Delectus aut vel veniam ea sunt.,300 TL ve üzeri alışveriş,100,2025-07-13,2025-08-03,ziraat
ziraat_CAMP_8,ziraat_CARD_CUST_0103_4,MERCH_14,CAT_1,Re-engineered 5thgeneration encryption,Recusandae illo eos facilis provident saepe.,500 TL ve üzeri alışveriş,150,2025-07-13,2025-08-04,ziraat
ziraat_CAMP_9,ziraat_CARD_CUST_0442_2,MERCH_4,CAT_1,Persistent heuristic approach,Eos eius facilis omnis eaque.,300 TL ve üzeri alışveriş,100,2025-07-15,2025-07-19,ziraat
ziraat_CAMP_10,ziraat_CARD_CUST_0187_3,MERCH_15,CAT_3,Synergistic client-driven success,Quos eligendi harum alias maiores.,150 TL ve üzeri alışveriş,150,2025-07-13,2025-07-24,ziraat
ziraat_CAMP_11,ziraat_CARD_CUST_0190_3,MERCH_8,CAT_3,Multi-tiered systemic product,Vitae enim molestiae similique officia.,500 TL ve üzeri alışveriş,25,2025-07-18,2025-08-05,ziraat
ziraat_CAMP_12,ziraat_CARD_CUST_0078_1,MERCH_5,CAT_3,Grass-roots non-volatile Graphic Interface,Nobis perspiciatis quisquam autem distinctio.,500 TL ve üzeri alışveriş,50,2025-07-04,2025-07-28,ziraat
ziraat_CAMP_13,ziraat_CARD_CUST_0190_2,MERCH_1,CAT_3,Exclusive transitional utilization,Quae voluptatum vitae facilis sit.,250 TL ve üzeri alışveriş,50,2025-07-07,2025-08-16,ziraat
ziraat_CAMP_14,ziraat_CARD_CUST_0484_4,MERCH_15,CAT_3,Multi-lateral zero tolerance strategy,Amet architecto accusamus perspiciatis commodi minima nobis.,150 TL ve üzeri alışveriş,50,2025-07-06,2025-08-13,ziraat
ziraat_CAMP_15,ziraat_CARD_CUST_0102_4,MERCH_19,CAT_2,Open-source context-sensitive data-warehouse,Impedit ducimus ex ab.,150 TL ve üzeri alışveriş,50,2025-07-14,2025-08-16,ziraat
ziraat_CAMP_16,ziraat_CARD_CUST_0187_3,MERCH_8,CAT_3,Business-focused exuding Internet solution,Aliquam cumque deleniti excepturi dolor ducimus.,150 TL ve üzeri alışveriş,25,2025-07-09,2025-08-07,ziraat
ziraat_CAMP_17,ziraat_CARD_CUST_0298_1,MERCH_20,CAT_3,Synergistic multi-state infrastructure,Eius totam tenetur enim suscipit.,250 TL ve üzeri alışveriş,50,2025-07-14,2025-07-23,ziraat
ziraat_CAMP_18,ziraat_CARD_CUST_0215_3,MERCH_4,CAT_1,Organic foreground ability,Velit aperiam optio in ad.,150 TL ve üzeri alışveriş,25,2025-07-14,2025-07-28,ziraat
ziraat_CAMP_19,ziraat_CARD_CUST_0499_1,MERCH_11,CAT_5,Horizontal solution-oriented conglomeration,Cum repellendus mollitia facere quis ratione velit autem.,250 TL ve üzeri alışveriş,25,2025-07-14,2025-08-13,ziraat
ziraat_CAMP_20,ziraat_CARD_CUST_0013_2,MERCH_9,CAT_5,Innovative transitional portal,Nam voluptates vitae harum expedita ea commodi.,500 TL ve üzeri alışveriş,25,2025-07-04,2025-07-22,ziraat
ziraat_CAMP_21,ziraat_CARD_CUST_0262_1,MERCH_8,CAT_3,Implemented even-keeled Graphical User Interface,Aut rem cumque non.,250 TL ve üzeri alışveriş,150,2025-07-10,2025-08-17,ziraat
ziraat_CAMP_22,ziraat_CARD_CUST_0112_2,MERCH_12,CAT_4,Public-key cohesive migration,Modi vitae dolorum quos ex voluptatum.,250 TL ve üzeri alışveriş,25,2025-07-07,2025-07-29,ziraat
ziraat_CAMP_23,ziraat_CARD_CUST_0285_1,MERCH_14,CAT_1,Organized 3rdgeneration website,Fugiat delectus omnis excepturi commodi nostrum.,300 TL ve üzeri alışveriş,150,2025-07-05,2025-07-26,ziraat
ziraat_CAMP_24,ziraat_CARD_CUST_0287_3,MERCH_19,CAT_2,De-engineered composite architecture,Explicabo rerum autem corrupti.,300 TL ve üzeri alışveriş,150,2025-07-09,2025-08-17,ziraat
ziraat_CAMP_25,ziraat_CARD_CUST_0163_2,MERCH_11,CAT_5,Down-sized composite knowledgebase,Sequi illum ipsam eum.,250 TL ve üzeri alışveriş,50,2025-07-08,2025-07-31,ziraat
ziraat_CAMP_26,ziraat_CARD_CUST_0295_2,MERCH_14,CAT_1,Programmable fresh-thinking Graphical User Interface,Aliquid voluptate sapiente quod.,300 TL ve üzeri alışveriş,50,2025-07-10,2025-07-27,ziraat
ziraat_CAMP_27,ziraat_CARD_CUST_0185_3,MERCH_14,CAT_1,Automated human-resource groupware,Natus voluptatibus dolore illum.,500 TL ve üzeri alışveriş,150,2025-07-08,2025-08-01,ziraat
ziraat_CAMP_28,ziraat_CARD_CUST_0215_2,MERCH_19,CAT_2,Reactive radical website,Aliquam officiis soluta architecto vitae.,500 TL ve üzeri alışveriş,25,2025-07-08,2025-08-16,ziraat
ziraat_CAMP_29,ziraat_CARD_CUST_0190_2,MERCH_8,CAT_3,Managed disintermediate parallelism,Reiciendis ullam officiis tempora magni est illum.,150 TL ve üzeri alışveriş,150,2025-07-09,2025-08-06,ziraat
ziraat_CAMP_30,ziraat_CARD_CUST_0349_2,MERCH_11,CAT_5,Fully-configurable logistical policy,Neque a sapiente sequi.,250 TL ve üzeri alışveriş,25,2025-07-04,2025-08-15,ziraat
ziraat_CAMP_31,ziraat_CARD_CUST_0047_2,MERCH_10,CAT_4,Optimized hybrid superstructure,Occaecati debitis ullam ipsa.,500 TL ve üzeri alışveriş,100,2025-07-07,2025-08-09,ziraat
ziraat_CAMP_32,ziraat_CARD_CUST_0167_2,MERCH_20,CAT_3,Vision-oriented systematic projection,Amet inventore quo veritatis.,500 TL ve üzeri alışveriş,25,2025-07-12,2025-08-10,ziraat
ziraat_CAMP_33,ziraat_CARD_CUST_0226_4,MERCH_7,CAT_5,Total global website,Quis sint minima culpa nostrum explicabo sed.,250 TL ve üzeri alışveriş,100,2025-07-13,2025-08-03,ziraat
ziraat_CAMP_34,ziraat_CARD_CUST_0218_2,MERCH_19,CAT_2,Cross-platform directional parallelism,Quas suscipit nihil voluptatem tenetur.,250 TL ve üzeri alışveriş,150,2025-07-12,2025-08-01,ziraat
ziraat_CAMP_35,ziraat_CARD_CUST_0013_2,MERCH_10,CAT_4,Triple-buffered modular encryption,Dolore laboriosam doloremque facilis deserunt cupiditate ea.,500 TL ve üzeri alışveriş,25,2025-07-12,2025-08-06,ziraat
ziraat_CAMP_36,ziraat_CARD_CUST_0450_2,MERCH_1,CAT_3,Exclusive dynamic leverage,Reprehenderit pariatur optio eligendi.,500 TL ve üzeri alışveriş,100,2025-07-17,2025-08-04,ziraat
ziraat_CAMP_37,ziraat_CARD_CUST_0239_2,MERCH_5,CAT_3,Intuitive object-oriented data-warehouse,Repellendus dolore totam quo.,250 TL ve üzeri alışveriş,150,2025-07-07,2025-07-30,ziraat
ziraat_CAMP_38,ziraat_CARD_CUST_0160_2,MERCH_16,CAT_3,Total static productivity,Nam eveniet exercitationem rem sunt architecto.,300 TL ve üzeri alışveriş,150,2025-07-06,2025-08-14,ziraat
ziraat_CAMP_39,ziraat_CARD_CUST_0295_2,MERCH_4,CAT_1,Reduced local project,Quasi expedita iure corporis vel quis rem.,300 TL ve üzeri alışveriş,50,2025-07-11,2025-07-24,ziraat
ziraat_CAMP_40,ziraat_CARD_CUST_0355_1,MERCH_17,CAT_4,Triple-buffered didactic solution,Fugiat impedit laudantium necessitatibus accusantium autem quibusdam.,250 TL ve üzeri alışveriş,150,2025-07-09,2025-07-20,ziraat
ziraat_CAMP_41,ziraat_CARD_CUST_0103_3,MERCH_7,CAT_5,Exclusive neutral contingency,Atque consectetur similique quam expedita neque.,150 TL ve üzeri alışveriş,50,2025-07-11,2025-08-16,ziraat
ziraat_CAMP_42,ziraat_CARD_CUST_0493_1,MERCH_9,CAT_5,Fundamental logistical framework,Blanditiis occaecati omnis eligendi eveniet laudantium corporis.,500 TL ve üzeri alışveriş,150,2025-07-10,2025-08-06,ziraat
ziraat_CAMP_43,ziraat_CARD_CUST_0178_2,MERCH_7,CAT_5,Triple-buffered 3rdgeneration application,Illo perspiciatis aliquid eius optio animi consectetur.,250 TL ve üzeri alışveriş,25,2025-07-15,2025-08-07,ziraat
ziraat_CAMP_44,ziraat_CARD_CUST_0212_1,MERCH_6,CAT_4,Universal uniform support,Distinctio labore ipsam laborum asperiores assumenda.,300 TL ve üzeri alışveriş,100,2025-07-11,2025-07-24,ziraat
ziraat_CAMP_45,ziraat_CARD_CUST_0067_3,MERCH_16,CAT_3,Persistent exuding array,Aut ex odit incidunt nostrum voluptas tenetur.,300 TL ve üzeri alışveriş,100,2025-07-07,2025-08-13,ziraat
ziraat_CAMP_46,ziraat_CARD_CUST_0299_2,MERCH_6,CAT_4,Assimilated 24hour emulation,Beatae autem tenetur odio.,150 TL ve üzeri alışveriş,25,2025-07-06,2025-08-10,ziraat
